,Year,State,State_Minimum_Wage
455,1999,MS,5.15
456,1999,MT,5.15
457,1999,NC,5.15
458,1999,ND,5.15
459,1999,NE,5.15
460,1999,NH,5.15
461,1999,NJ,5.05
462,1999,NM,4.25
463,1999,NV,5.15
464,1999,NY,4.25
465,1999,OH,4.25
466,1999,OK,5.15
467,1999,OR,6.0
468,1999,PA,5.15
469,1999,RI,5.15
470,1999,SC,5.15
471,1999,SD,5.15
472,1999,TN,5.15
473,1999,TX,3.35
474,1999,UT,5.15
475,1999,VA,5.15
476,1999,WA,4.9
477,1999,WI,5.15
478,1999,WV,4.75
479,1999,WY,1.6
480,2000,AL,5.15
481,2000,AR,5.15
482,2000,AZ,5.15
483,2000,CA,5.75
484,2000,CO,5.15
485,2000,CT,6.15
486,2000,DE,5.65
487,2000,FL,5.15
488,2000,GA,3.25
489,2000,HI,5.25
490,2000,IA,5.15
491,2000,ID,5.15
492,2000,IL,5.15
493,2000,IN,5.15
494,2000,KS,2.65
495,2000,KY,5.15
496,2000,LA,5.15
497,2000,MA,6.0
498,2000,MD,5.15
499,2000,ME,5.15
500,2000,MI,5.15
501,2000,MN,4.9
502,2000,MO,5.15
503,2000,MS,5.15
504,2000,MT,4.0
505,2000,NC,5.15
506,2000,ND,5.15
507,2000,NE,5.15
508,2000,NH,5.15
509,2000,NJ,5.15
510,2000,NM,4.25
511,2000,NV,5.15
512,2000,NY,4.25
513,2000,OH,2.8
514,2000,OK,2.0
515,2000,OR,6.5
516,2000,PA,5.15
517,2000,RI,5.65
518,2000,SC,5.15
519,2000,SD,5.15
520,2000,TN,5.15
521,2000,TX,3.35
522,2000,UT,5.15
523,2000,VA,5.15
524,2000,WA,6.5
525,2000,WI,5.15
526,2000,WV,5.15
527,2000,WY,1.6
528,2001,AL,5.15
529,2001,AR,5.15
530,2001,AZ,5.15
531,2001,CA,6.25
532,2001,CO,5.15
533,2001,CT,6.4
534,2001,DE,6.15
535,2001,FL,5.15
536,2001,GA,3.25
537,2001,HI,5.25
538,2001,IA,5.15
539,2001,ID,5.15
540,2001,IL,5.15
541,2001,IN,5.15
542,2001,KS,2.65
543,2001,KY,5.15
544,2001,LA,5.15
545,2001,MA,6.75
546,2001,MD,5.15
547,2001,ME,5.15
548,2001,MI,5.15
