,Year,State,House Cost
122,2010,ND,151024.91665
123,2010,NE,129883.33335
124,2010,NH,188572.916675
125,2010,NJ,239692.270825
126,2010,NM,176131.04165
127,2010,NV,173205.01666
128,2010,NY,145095.253698
129,2010,OH,99854.18333733334
130,2010,OK,106461.249994
131,2010,OR,189562.61805000002
132,2010,PA,137581.82407055554
133,2010,RI,213631.3333
134,2010,SC,161436.09166
135,2010,SD,143054.1667
136,2010,TN,114240.01469941177
137,2010,TX,130445.50270214287
138,2010,UT,213898.6389
139,2010,VA,203735.625
140,2010,WA,209117.15740000003
141,2010,WI,134585.69444444444
142,2010,WV,93985.16667
143,2010,WY,168092.0833
144,2011,AL,132609.175004
145,2011,AR,118323.00001666666
146,2011,AZ,147805.12542222222
147,2011,CA,246635.45555666665
148,2011,CO,272027.6666666667
149,2011,CT,243652.68332
150,2011,DE,189007.08335
151,2011,FL,140227.64130478262
152,2011,GA,117698.39432764705
153,2011,HI,358858.145825
154,2011,IA,122641.666675
155,2011,ID,119189.72223333333
156,2011,IL,104271.52123764704
157,2011,IN,100186.83333142857
158,2011,KS,118016.6667
159,2011,KY,121225.638875
160,2011,LA,141761.84375
161,2011,MA,236666.05
162,2011,MD,175476.458325
163,2011,ME,144125.416675
164,2011,MI,101441.89583449998
165,2011,MN,129558.32574818183
166,2011,MO,115899.22045000001
167,2011,MS,113260.416665
168,2011,MT,182503.3125
169,2011,NC,145325.79155384615
170,2011,ND,153889.5833
171,2011,NE,129060.25
172,2011,NH,179248.95835
173,2011,NJ,232161.75002500002
174,2011,NM,165845.83335
175,2011,NV,145747.40278333332
176,2011,NY,142486.322908125
177,2011,OH,98290.40510736842
178,2011,OK,102757.31945
179,2011,OR,166992.22024285715
180,2011,PA,131105.0549215
181,2011,RI,202187.5
182,2011,SC,153677.77499
183,2011,SD,137664.8333
184,2011,TN,111950.57870944445
185,2011,TX,132539.68021941176
186,2011,UT,196456.80556666665
187,2011,VA,197140.9895875
188,2011,WA,199282.62963333333
189,2011,WI,125265.01852444444
190,2011,WV,92366.66667
191,2011,WY,165967.0833
192,2012,AL,140877.35834
193,2012,AR,122112.20237142856
194,2012,AZ,150105.9537111111
195,2012,CA,252492.79444
196,2012,CO,259196.2613642857
197,2012,CT,239069.99998
198,2012,DE,190256.16665
199,2012,FL,141325.63888333333
200,2012,GA,120859.4901982353
201,2012,HI,365012.97915
202,2012,IA,124318.75
203,2012,ID,133340.92805
204,2012,IL,107180.6715682353
205,2012,IN,104806.43452642857
206,2012,KS,119895.8333
207,2012,KY,121920.1458375
208,2012,LA,145216.46875
209,2012,MA,235907.45
210,2012,MD,178056.87501750002
211,2012,ME,148530.47915
212,2012,MI,104606.64393636363
213,2012,MN,133395.79546636363
214,2012,MO,121585.391664
215,2012,MS,116989.58335
216,2012,MT,185285.9375
217,2012,NC,147863.15327964287
218,2012,ND,160575.0
219,2012,NE,132725.0
220,2012,NH,176597.916675
221,2012,NJ,228819.37497499998
222,2012,NM,165757.66665
223,2012,NV,145303.02777166668
224,2012,NY,140708.11979625002
225,2012,OH,100190.81667849999
226,2012,OK,108327.73609333334
227,2012,OR,171547.55706
228,2012,PA,132702.7375085
229,2012,RI,196072.5
230,2012,SC,153789.80833
231,2012,SD,151623.0644
232,2012,TN,113541.85185944445
233,2012,TX,135880.59166499999
234,2012,UT,207521.86108333335
235,2012,VA,200740.94792500001
236,2012,WA,195305.12963333333
237,2012,WI,127056.25925888888
238,2012,WV,101287.5
239,2012,WY,176419.5833
240,2013,AL,149135.32224
241,2013,AR,119430.20835375
242,2013,AZ,160833.32408888888
243,2013,CA,295483.95277333335
244,2013,CO,262446.01785
245,2013,CT,239710.51666000002
246,2013,DE,192883.91665
247,2013,FL,155501.44097916668
248,2013,GA,123948.82895052632
249,2013,HI,390027.97915
250,2013,IA,128575.520825
251,2013,ID,145320.854175
252,2013,IL,107129.5147152941
253,2013,IN,107810.00594785715
254,2013,KS,120783.1667
255,2013,KY,120280.47223333333
256,2013,LA,148850.104175
257,2013,MA,245292.93332
258,2013,MD,206485.333334
259,2013,ME,151954.56252500002
260,2013,MI,111589.35226636364
261,2013,MN,142782.23484272728
262,2013,MO,125666.058343
263,2013,MS,121648.5833
264,2013,MT,194763.333325
265,2013,NC,147772.03735413792
266,2013,ND,178976.83329999997
267,2013,NE,135760.41665
268,2013,NH,186272.916675
269,2013,NJ,224881.3125
270,2013,NM,149147.63890000002
271,2013,NV,173935.41668333334
272,2013,NY,145296.192710625
273,2013,OH,102325.62540142858
274,2013,OK,113454.7639
275,2013,OR,185287.03333333333
276,2013,PA,133818.07501149998
277,2013,RI,205066.6667
278,2013,SC,153595.03030909091
279,2013,SD,156614.625
280,2013,TN,117257.31944666668
281,2013,TX,143524.05555714286
282,2013,UT,230311.09725000002
283,2013,VA,209423.53125
284,2013,WA,203448.75926666666
285,2013,WI,132145.11110944446
286,2013,WV,103564.5833
287,2013,WY,181369.7917
288,2014,AL,145498.94698181818
289,2014,AR,121175.61728111112
290,2014,AZ,172278.8148
291,2014,CA,326351.38889
292,2014,CO,273673.4761857143
293,2014,CT,241224.55
294,2014,DE,192545.75
295,2014,FL,167682.55208041664
296,2014,GA,129418.6306785
297,2014,HI,418471.625
298,2014,IA,127735.911106
299,2014,ID,150202.479175
300,2014,IL,107957.67157235293
301,2014,IN,110326.96428785715
302,2014,KS,122466.6667
303,2014,KY,117503.076667
304,2014,LA,151316.145825
305,2014,MA,251669.88334
306,2014,MD,213975.833334
307,2014,ME,150803.64585
308,2014,MI,117475.8446890909
309,2014,MN,147577.66667272727
310,2014,MO,126026.77416666666
311,2014,MS,126977.0
312,2014,MT,201710.81247499998
313,2014,NC,148664.06035068966
314,2014,ND,188620.45835
315,2014,NE,140937.5
316,2014,NH,186518.75
317,2014,NJ,235413.208325
318,2014,NM,156199.375025
319,2014,NV,194613.8889
320,2014,NY,145285.052086875
321,2014,OH,104072.59420043479
322,2014,OK,116774.23609333334
323,2014,OR,195448.09444000002
324,2014,PA,135655.04293
325,2014,RI,212158.3333
326,2014,SC,154433.36362727275
327,2014,SD,163329.7083
328,2014,TN,119047.98486052633
329,2014,TX,149028.35916666666
330,2014,UT,237815.875
331,2014,VA,212095.59375
332,2014,WA,210708.14814444445
333,2014,WI,136105.916665
334,2014,WV,99279.16667
335,2014,WY,195427.91665
336,2015,AL,144188.61363636365
337,2015,AR,124699.60186333333
338,2015,AZ,181115.62963333333
339,2015,CA,351513.60556
340,2015,CO,289901.53571428574
341,2015,CT,243565.83333999998
342,2015,DE,199151.875
343,2015,FL,180413.62153333332
344,2015,GA,136265.46667
345,2015,HI,453529.16665
346,2015,IA,130593.500006
347,2015,ID,160265.625
348,2015,IL,110464.32843117646
349,2015,IN,116192.30556466668
350,2015,KS,132308.3333
351,2015,KY,126738.06818818183
352,2015,LA,157216.291675
353,2015,MA,260176.66666000002
354,2015,MD,207734.68331400002
355,2015,ME,154847.1458
356,2015,MI,123198.4052959091
357,2015,MN,154295.8409090909
358,2015,MO,132178.340275
359,2015,MS,137853.125
360,2015,MT,213931.666675
361,2015,NC,156647.73276310344
362,2015,ND,206138.95835
363,2015,NE,148770.83335
364,2015,NH,193547.291675
365,2015,NJ,229968.22915
366,2015,NM,156157.9375
367,2015,NV,217641.31941666667
368,2015,NY,148688.265620625
369,2015,OH,108986.46180875
370,2015,OK,115723.87143857143
371,2015,OR,207627.8833266667
372,2015,PA,137512.77582318182
373,2015,RI,223229.1667
374,2015,SC,161132.73484545454
375,2015,SD,175304.16665
376,2015,TN,124159.15789105263
377,2015,TX,156576.26042500001
378,2015,UT,256524.54165
379,2015,VA,212078.21547777776
380,2015,WA,225132.96296666667
381,2015,WI,140156.89813888888
382,2015,WV,113758.3333
383,2015,WY,203160.2083
384,2016,AL,137665.43055833332
385,2016,AR,128554.90740333332
386,2016,AZ,192554.62962222224
387,2016,CA,375402.68611333333
388,2016,CO,310326.2023857143
389,2016,CT,243300.21666
390,2016,DE,209257.66665
391,2016,FL,193978.18402208335
392,2016,GA,140238.55000000002
393,2016,HI,479384.895825
394,2016,IA,133401.88332599998
395,2016,ID,172182.020825
396,2016,IL,113436.26960235293
397,2016,IN,120583.76562749999
398,2016,KS,135362.5
399,2016,KY,129449.84091181819
400,2016,LA,164116.1458375
401,2016,MA,266809.43334
402,2016,MD,216619.35
403,2016,ME,163000.854175
404,2016,MI,130328.99999681818
405,2016,MN,165876.31060909093
406,2016,MO,135596.29861666667
407,2016,MS,143644.7917
408,2016,MT,227208.33335
409,2016,NC,161559.4811816129
410,2016,ND,215952.91665
411,2016,NE,156125.0
412,2016,NH,200851.35415
413,2016,NJ,224680.291675
414,2016,NM,157497.375
415,2016,NV,237097.20831666666
416,2016,NY,151680.781254375
417,2016,OH,112900.18402624999
418,2016,OK,121187.2857242857
419,2016,OR,225498.98332
420,2016,PA,142429.15908318182
421,2016,RI,239283.3333
422,2016,SC,162803.02903333333
423,2016,SD,186133.125
424,2016,TN,133458.75439105261
425,2016,TX,167433.4132041667
426,2016,UT,272403.0416666667
427,2016,VA,219843.92594444443
428,2016,WA,245088.12035555558
429,2016,WI,147495.13889833333
430,2016,WV,115825.0
431,2016,WY,202810.41665
432,2017,AL,140836.87500833333
433,2017,AR,131392.43518555554
434,2017,AZ,207583.91667777777
435,2017,CA,408551.78712000005
436,2017,CO,335155.70835
437,2017,CT,253072.46664
438,2017,DE,217897.29165
439,2017,FL,206065.3750125
440,2017,GA,149685.62501350002
441,2017,HI,503612.125
442,2017,IA,139978.56666
443,2017,ID,186748.520825
444,2017,IL,117626.0000017647
445,2017,IN,127200.536454375
446,2017,KS,139530.3333
447,2017,KY,133521.60605454547
448,2017,LA,167998.5625125
449,2017,MA,283501.0
450,2017,MD,226284.366666
451,2017,ME,173549.33335
452,2017,MI,137407.58332590907
453,2017,MN,172329.2878727273
454,2017,MO,137414.15475714285
455,2017,MS,150327.0833
456,2017,MT,240832.291675
457,2017,NC,171454.21236870968
458,2017,ND,221657.125
459,2017,NE,162958.3333
460,2017,NH,215238.16665
461,2017,NJ,231555.22915
462,2017,NM,158089.749975
463,2017,NV,264233.30555
464,2017,NY,158300.708333125
465,2017,OH,118053.80334
466,2017,OK,125949.72914999998
467,2017,OR,245485.69999333334
468,2017,PA,146711.7651518182
469,2017,RI,252262.5
470,2017,SC,170806.66666666666
471,2017,SD,193430.83335
472,2017,TN,142614.20614210525
473,2017,TX,176113.5138916667
474,2017,UT,308884.0833333334
475,2017,VA,226537.37964444445
476,2017,WA,269907.1388777778
477,2017,WI,156349.1296388889
478,2017,WV,113381.0833
479,2017,WY,214354.16666666666
480,2018,AL,151614.39584166667
481,2018,AR,136215.85184111109
482,2018,AZ,227383.35185555555
483,2018,CA,440239.57222666667
484,2018,CO,365439.13095
485,2018,CT,254530.83333999998
486,2018,DE,223789.5833
487,2018,FL,221558.72568750003
488,2018,GA,158747.78463333333
489,2018,HI,538037.250025
490,2018,IA,145687.91668
491,2018,ID,215018.64585
492,2018,IL,120783.49019411765
493,2018,IN,135138.533665
494,2018,KS,146895.8333
495,2018,KY,142027.82576363636
496,2018,LA,174049.6249875
497,2018,MA,297735.91666
498,2018,MD,230270.05000000002
499,2018,ME,186286.020825
500,2018,MI,146376.57576363636
501,2018,MN,184022.79544545457
502,2018,MO,146218.98214285713
503,2018,MS,159476.125
504,2018,MT,258392.458325
505,2018,NC,182344.40591838708
506,2018,ND,227298.875
507,2018,NE,179019.2917
508,2018,NH,224626.791675
509,2018,NJ,237334.37497499998
510,2018,NM,168779.1875
511,2018,NV,301453.0833333333
512,2018,NY,164919.848958125
513,2018,OH,124743.8611
514,2018,OK,130170.989575
515,2018,OR,268420.31666666665
516,2018,PA,151795.42424090908
517,2018,RI,267408.3333
518,2018,SC,182207.26388333333
519,2018,SD,208202.91665
520,2018,TN,155914.55263157893
521,2018,TX,188027.031824
522,2018,UT,336843.68055000005
523,2018,VA,234621.36111111112
524,2018,WA,295697.74073333334
525,2018,WI,167150.4074
526,2018,WV,117057.75
527,2018,WY,218613.41666666666
528,2019,AL,159112.736125
529,2019,AR,144831.02777777778
530,2019,AZ,245841.35186666664
531,2019,CA,449326.56110333337
532,2019,CO,383900.7440357143
533,2019,CT,254168.15
534,2019,DE,236025.0
535,2019,FL,233145.25000416668
536,2019,GA,170521.78968095238
537,2019,HI,556421.95835
