,Year,State,Income
293,2014,CT,70160.0
294,2014,DE,57520.0
295,2014,FL,46140.0
296,2014,GA,49560.0
297,2014,HI,71220.0
298,2014,IA,57810.0
299,2014,ID,53440.0
300,2014,IL,54920.0
301,2014,IN,48060.0
302,2014,KS,53440.0
303,2014,KY,42790.0
304,2014,LA,42410.0
305,2014,MA,63150.0
306,2014,MD,76170.0
307,2014,ME,51710.0
308,2014,MI,52010.0
309,2014,MN,67240.0
310,2014,MO,56630.0
311,2014,MS,35520.0
312,2014,MT,51100.0
313,2014,NC,46780.0
314,2014,ND,60730.0
315,2014,NE,56870.0
316,2014,NH,73400.0
317,2014,NJ,65240.0
318,2014,NM,46690.0
319,2014,NV,49880.0
320,2014,NY,54310.0
321,2014,OH,49640.0
322,2014,OK,47200.0
323,2014,OR,58880.0
324,2014,PA,55170.0
325,2014,RI,58630.0
326,2014,SC,44930.0
327,2014,SD,53050.0
328,2014,TN,43720.0
329,2014,TX,53880.0
330,2014,UT,63380.0
331,2014,VA,66160.0
332,2014,WA,59070.0
333,2014,WI,58080.0
334,2014,WV,39550.0
335,2014,WY,55690.0
336,2015,AL,44510.0
337,2015,AR,42800.0
338,2015,AZ,52250.0
339,2015,CA,63640.0
340,2015,CO,66600.0
341,2015,CT,72890.0
342,2015,DE,57760.0
343,2015,FL,48830.0
344,2015,GA,50770.0
345,2015,HI,64510.0
346,2015,IA,60860.0
347,2015,ID,51620.0
348,2015,IL,60410.0
349,2015,IN,51980.0
350,2015,KS,54870.0
351,2015,KY,42390.0
352,2015,LA,45920.0
353,2015,MA,67860.0
354,2015,MD,73590.0
355,2015,ME,50760.0
356,2015,MI,54200.0
357,2015,MN,68730.0
358,2015,MO,59200.0
359,2015,MS,40040.0
360,2015,MT,51400.0
361,2015,NC,50800.0
362,2015,ND,57420.0
363,2015,NE,60470.0
364,2015,NH,75680.0
365,2015,NJ,68360.0
366,2015,NM,45120.0
367,2015,NV,52010.0
368,2015,NY,58010.0
369,2015,OH,53300.0
370,2015,OK,47080.0
371,2015,OR,60830.0
372,2015,PA,60390.0
373,2015,RI,55700.0
374,2015,SC,46360.0
375,2015,SD,55070.0
376,2015,TN,47330.0
377,2015,TX,56470.0
378,2015,UT,66260.0
379,2015,VA,61490.0
380,2015,WA,67240.0
381,2015,WI,55430.0
382,2015,WV,42820.0
383,2015,WY,60930.0
384,2016,AL,47220.0
385,2016,AR,45910.0
386,2016,AZ,57100.0
387,2016,CA,66640.0
388,2016,CO,70570.0
389,2016,CT,75920.0
390,2016,DE,58050.0
391,2016,FL,51180.0
392,2016,GA,53530.0
393,2016,HI,72130.0
394,2016,IA,59090.0
