,Year,State,State_Minimum_Wage
323,2014,OR,9.1
324,2014,PA,7.25
325,2014,RI,8.0
326,2014,SC,7.25
327,2014,SD,7.25
328,2014,TN,7.25
329,2014,TX,7.25
330,2014,UT,7.25
331,2014,VA,7.25
332,2014,WA,9.32
333,2014,WI,7.25
334,2014,WV,7.25
335,2014,WY,5.15
336,2015,AL,7.25
337,2015,AR,7.5
338,2015,AZ,8.05
339,2015,CA,9.0
340,2015,CO,8.23
341,2015,CT,9.15
342,2015,DE,8.25
343,2015,FL,8.05
344,2015,GA,5.15
345,2015,HI,7.75
346,2015,IA,7.25
347,2015,ID,7.25
348,2015,IL,8.25
349,2015,IN,7.25
350,2015,KS,7.25
351,2015,KY,7.25
352,2015,LA,7.25
353,2015,MA,9.0
354,2015,MD,8.25
355,2015,ME,7.5
356,2015,MI,8.15
357,2015,MN,7.25
358,2015,MO,7.65
359,2015,MS,7.25
360,2015,MT,8.05
361,2015,NC,7.25
362,2015,ND,7.25
363,2015,NE,8.0
364,2015,NH,7.25
365,2015,NJ,8.38
366,2015,NM,7.5
367,2015,NV,7.25
368,2015,NY,8.75
369,2015,OH,7.25
370,2015,OK,2.0
371,2015,OR,9.25
372,2015,PA,7.25
373,2015,RI,9.0
374,2015,SC,7.25
375,2015,SD,8.5
376,2015,TN,7.25
377,2015,TX,7.25
378,2015,UT,7.25
379,2015,VA,7.25
380,2015,WA,9.47
381,2015,WI,7.25
382,2015,WV,8.0
383,2015,WY,5.15
384,2016,AL,7.25
385,2016,AR,8.0
386,2016,AZ,8.05
387,2016,CA,10.0
388,2016,CO,8.31
389,2016,CT,9.6
390,2016,DE,8.25
391,2016,FL,8.05
392,2016,GA,5.15
393,2016,HI,8.5
394,2016,IA,7.25
395,2016,ID,7.25
396,2016,IL,8.25
397,2016,IN,7.25
398,2016,KS,7.25
399,2016,KY,7.25
400,2016,LA,7.25
401,2016,MA,10.0
402,2016,MD,8.75
403,2016,ME,7.5
404,2016,MI,8.5
405,2016,MN,7.25
406,2016,MO,7.65
407,2016,MS,7.25
408,2016,MT,8.05
409,2016,NC,7.25
410,2016,ND,7.25
411,2016,NE,9.0
412,2016,NH,7.25
413,2016,NJ,8.38
414,2016,NM,7.5
415,2016,NV,7.25
416,2016,NY,9.0
417,2016,OH,7.25
418,2016,OK,2.0
419,2016,OR,9.75
420,2016,PA,7.25
421,2016,RI,9.6
422,2016,SC,7.25
423,2016,SD,8.55
424,2016,TN,7.25
425,2016,TX,7.25
426,2016,UT,7.25
427,2016,VA,7.25
428,2016,WA,9.47
429,2016,WI,7.25
430,2016,WV,8.75
431,2016,WY,5.15
432,2017,AL,7.25
433,2017,AR,8.5
434,2017,AZ,10.0
435,2017,CA,10.0
436,2017,CO,9.3
437,2017,CT,10.1
438,2017,DE,8.25
439,2017,FL,8.1
440,2017,GA,5.15
441,2017,HI,9.25
442,2017,IA,7.25
443,2017,ID,7.25
444,2017,IL,8.25
445,2017,IN,7.25
446,2017,KS,7.25
447,2017,KY,7.25
448,2017,LA,7.25
449,2017,MA,11.0
450,2017,MD,8.75
451,2017,ME,9.0
452,2017,MI,8.9
453,2017,MN,7.75
454,2017,MO,7.7
455,2017,MS,7.25
456,2017,MT,8.15
457,2017,NC,7.25
458,2017,ND,7.25
459,2017,NE,9.0
460,2017,NH,7.25
461,2017,NJ,8.44
462,2017,NM,7.5
463,2017,NV,7.25
464,2017,NY,9.7
465,2017,OH,8.15
466,2017,OK,2.0
467,2017,OR,9.75
468,2017,PA,7.25
469,2017,RI,9.6
470,2017,SC,7.25
471,2017,SD,8.65
472,2017,TN,7.25
473,2017,TX,7.25
474,2017,UT,7.25
475,2017,VA,7.25
476,2017,WA,11.0
477,2017,WI,7.25
478,2017,WV,8.75
479,2017,WY,5.15
480,2018,AL,7.25
481,2018,AR,8.5
482,2018,AZ,10.5
483,2018,CA,11.0
484,2018,CO,10.2
485,2018,CT,10.1
486,2018,DE,8.25
487,2018,FL,8.25
488,2018,GA,5.15
489,2018,HI,10.1
490,2018,IA,7.25
491,2018,ID,7.25
492,2018,IL,8.25
493,2018,IN,7.25
494,2018,KS,7.25
495,2018,KY,7.25
496,2018,LA,7.25
497,2018,MA,11.0
498,2018,MD,10.1
499,2018,ME,10.0
500,2018,MI,9.25
501,2018,MN,8.04
502,2018,MO,7.85
503,2018,MS,7.25
504,2018,MT,8.3
505,2018,NC,7.25
506,2018,ND,7.25
507,2018,NE,9.0
508,2018,NH,7.25
509,2018,NJ,8.6
510,2018,NM,7.5
511,2018,NV,7.25
512,2018,NY,10.4
513,2018,OH,8.3
514,2018,OK,2.0
515,2018,OR,10.75
516,2018,PA,7.25
517,2018,RI,10.1
518,2018,SC,7.25
519,2018,SD,8.85
520,2018,TN,7.25
521,2018,TX,7.25
522,2018,UT,7.25
523,2018,VA,7.25
524,2018,WA,11.5
525,2018,WI,7.25
526,2018,WV,8.75
527,2018,WY,5.15
528,2019,AL,7.25
529,2019,AR,9.25
530,2019,AZ,12.0
531,2019,CA,12.0
532,2019,CO,12.0
533,2019,CT,11.0
534,2019,DE,9.25
535,2019,FL,8.56
536,2019,GA,5.15
537,2019,HI,10.1
538,2019,IA,7.25
539,2019,ID,7.25
540,2019,IL,9.25
541,2019,IN,7.25
542,2019,KS,7.25
543,2019,KY,7.25
544,2019,LA,7.25
545,2019,MA,12.75
546,2019,MD,11.0
547,2019,ME,12.0
548,2019,MI,9.65
549,2019,MN,8.15
550,2019,MO,9.45
551,2019,MS,7.25
552,2019,MT,8.65
553,2019,NC,7.25
554,2019,ND,7.25
555,2019,NE,9.0
556,2019,NH,7.25
557,2019,NJ,11.0
558,2019,NM,9.0
559,2019,NV,7.25
560,2019,NY,11.8
561,2019,OH,8.7
562,2019,OK,2.0
563,2019,OR,11.25
564,2019,PA,7.25
565,2019,RI,10.5
566,2019,SC,7.25
567,2019,SD,9.3
568,2019,TN,7.25
569,2019,TX,7.25
570,2019,UT,7.25
571,2019,VA,7.25
572,2019,WA,13.5
573,2019,WI,7.25
574,2019,WV,8.75
575,2019,WY,5.15
576,2020,AL,7.25
577,2020,AR,10.0
578,2020,AZ,12.0
579,2020,CA,13.0
580,2020,CO,12.0
581,2020,CT,11.0
582,2020,DE,9.25
583,2020,FL,8.56
584,2020,GA,5.15
585,2020,HI,10.1
586,2020,IA,7.25
587,2020,ID,7.25
588,2020,IL,9.25
589,2020,IN,7.25
590,2020,KS,7.25
591,2020,KY,7.25
592,2020,LA,7.25
593,2020,MA,12.75
594,2020,MD,11.0
595,2020,ME,12.0
596,2020,MI,9.65
597,2020,MN,8.15
598,2020,MO,9.45
599,2020,MS,7.25
600,2020,MT,8.65
601,2020,NC,7.25
602,2020,ND,7.25
603,2020,NE,9.0
604,2020,NH,7.25
605,2020,NJ,11.0
606,2020,NM,9.0
607,2020,NV,7.25
608,2020,NY,11.8
609,2020,OH,8.7
610,2020,OK,2.0
611,2020,OR,11.25
612,2020,PA,7.25
613,2020,RI,10.5
614,2020,SC,7.25
615,2020,SD,9.3
616,2020,TN,7.25
617,2020,TX,7.25
618,2020,UT,7.25
619,2020,VA,7.25
620,2020,WA,13.5
621,2020,WI,7.25
622,2020,WV,8.75
623,2020,WY,5.15
624,2021,AL,7.25
625,2021,AR,11.0
626,2021,AZ,12.15
627,2021,CA,14.0
628,2021,CO,12.32
629,2021,CT,13.0
630,2021,DE,9.25
631,2021,FL,10.0
